time	V(v_out)	V(n002)
2.429383031889772e-005	1.038306e+002	1.062340e+002
2.430344107682571e-005	1.038432e+002	1.058895e+002
2.432266259268180e-005	1.038578e+002	1.050392e+002
2.433240449489836e-005	1.038623e+002	1.045549e+002
2.433716862631748e-005	1.038631e+002	1.042135e+002
2.433897108421038e-005	1.038632e+002	1.038826e+002
2.434061488630613e-005	1.038632e+002	1.033174e+002
2.434135811729742e-005	1.038632e+002	1.029941e+002
2.434221733165897e-005	1.038632e+002	1.025880e+002
2.434393576038207e-005	1.038632e+002	1.017265e+002
2.434575770213329e-005	1.038631e+002	1.007284e+002
2.434940158563585e-005	1.038631e+002	9.848860e+001
2.435370138110431e-005	1.038631e+002	9.541038e+001
2.436137972641891e-005	1.038631e+002	8.875771e+001
2.437197287799174e-005	1.038630e+002	7.817003e+001
2.437467330766447e-005	1.038630e+002	7.500695e+001
2.437544485899956e-005	1.038630e+002	7.406337e+001
2.437563774683330e-005	1.038630e+002	7.382594e+001
2.437602352250079e-005	1.038630e+002	7.335904e+001
2.437611996641766e-005	1.038630e+002	7.327206e+001
2.437631285425140e-005	1.038630e+002	7.318250e+001
2.437669862991889e-005	1.038630e+002	7.308092e+001
2.437746474045902e-005	1.038628e+002	7.292638e+001
2.437858983423715e-005	1.038626e+002	7.272636e+001
2.437993975856778e-005	1.038620e+002	7.250446e+001
2.438221023252191e-005	1.038606e+002	7.215685e+001
2.438675118043008e-005	1.038559e+002	7.152678e+001
2.439583307624641e-005	1.038404e+002	7.043352e+001
2.441399686787908e-005	1.037918e+002	6.855192e+001
2.443794452311454e-005	1.036963e+002	6.626942e+001
2.447021889689016e-005	1.035159e+002	6.314173e+001
2.450000000000000e-005	1.033096e+002	6.008595e+001
2.450297811031098e-005	1.032838e+002	5.980494e+001
2.450893433093295e-005	1.032310e+002	5.932911e+001
2.452084677217689e-005	1.031215e+002	5.866900e+001
2.454467165466476e-005	1.028949e+002	5.790532e+001
2.457499782125116e-005	1.026003e+002	5.737677e+001
2.461538106898168e-005	1.022046e+002	5.692454e+001
2.467310121948940e-005	1.016381e+002	5.635182e+001
2.501942212253553e-005	9.823969e+001	5.296059e+001
2.535823879593849e-005	9.491671e+001	4.964540e+001
2.582000000000008e-005	9.038988e+001	4.513000e+001
2.583234975608482e-005	9.027356e+001	4.545306e+001
2.585704926825431e-005	9.005840e+001	4.650425e+001
2.590644829259339e-005	8.970140e+001	4.928650e+001
2.596516790719626e-005	8.939634e+001	5.266356e+001
2.602231169160547e-005	8.921236e+001	5.564824e+001
2.605309271429225e-005	8.915899e+001	5.708840e+001
2.607130365172823e-005	8.914467e+001	5.788177e+001
2.608329565885437e-005	8.914101e+001	5.894231e+001
2.609207545827268e-005	8.914033e+001	6.126175e+001
2.610493841199621e-005	8.914021e+001	6.759389e+001
2.611752229306284e-005	8.914018e+001	7.605796e+001
2.612418464575396e-005	8.914017e+001	8.157684e+001
2.612869944635245e-005	8.914017e+001	8.582196e+001
2.613135713130607e-005	8.914017e+001	8.841009e+001
2.613260609231371e-005	8.914019e+001	8.946684e+001
2.613297477857459e-005	8.914021e+001	8.963725e+001
2.613335998644280e-005	8.914024e+001	8.970790e+001
2.613371785761343e-005	8.914029e+001	8.976517e+001
2.613406775078407e-005	8.914034e+001	8.981718e+001
2.613460425558679e-005	8.914045e+001	8.989239e+001
2.613511085522132e-005	8.914057e+001	8.995999e+001
2.613592425065284e-005	8.914082e+001	9.006283e+001
2.613685406715322e-005	8.914117e+001	9.017359e+001
2.613834605336401e-005	8.914188e+001	9.033737e+001
2.614069031345399e-005	8.914335e+001	9.056512e+001
2.614537883363394e-005	8.914736e+001	9.093915e+001
2.615433175265228e-005	8.915754e+001	9.148728e+001
2.616505282582366e-005	8.917297e+001	9.196809e+001
2.617908268053514e-005	8.919734e+001	9.242715e+001
2.619628252325493e-005	8.923211e+001	9.285674e+001
2.622192636512360e-005	8.929135e+001	9.334570e+001
2.625913611840999e-005	8.938739e+001	9.380669e+001
2.633080776382260e-005	8.958508e+001	9.426584e+001
2.638199611831177e-005	8.972977e+001	9.445087e+001
2.645109319648941e-005	8.992635e+001	9.464715e+001
2.652000000000004e-005	9.012240e+001	9.484425e+001
2.652016436621946e-005	9.012287e+001	9.484377e+001
2.652049309865830e-005	9.012380e+001	9.484422e+001
2.652115056353608e-005	9.012567e+001	9.484612e+001
2.652209484051420e-005	9.012836e+001	9.484882e+001
2.652398339447032e-005	9.013374e+001	9.485419e+001
2.652776050238268e-005	9.014448e+001	9.486493e+001
2.653302608156716e-005	9.015946e+001	9.487989e+001
2.653825184243178e-005	9.017432e+001	9.489474e+001
2.654381277407815e-005	9.019015e+001	9.491054e+001
2.654897008776179e-005	9.020482e+001	9.492519e+001
2.655435301856884e-005	9.022013e+001	9.494048e+001
